CarID,city mpg,Sum of DimCar,Driven_Wheels,Engine Cylinders,Engine Fuel Type,Engine HP,highway MPG,Market Category,Make,Model,MSRP,Number of Doors,Popularity,Transmission Type,Vehicle Size,Vehicle Style,Year
3073,16,3073,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,244,24,PERFORMANCE,DODGE,INTREPID,27055,4,1851,AUTOMATIC,LARGE,SEDAN,2002
3074,18,3074,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,200,26,UNKNOWN,DODGE,INTREPID,20810,4,1851,AUTOMATIC,LARGE,SEDAN,2002
3075,16,3075,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,234,24,UNKNOWN,DODGE,INTREPID,22970,4,1851,AUTOMATIC,LARGE,SEDAN,2002
3076,17,3076,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,244,25,UNKNOWN,DODGE,INTREPID,24875,4,1851,AUTOMATIC,LARGE,SEDAN,2003
3077,19,3077,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,200,27,UNKNOWN,DODGE,INTREPID,21155,4,1851,AUTOMATIC,LARGE,SEDAN,2003
3078,17,3078,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,234,25,UNKNOWN,DODGE,INTREPID,25415,4,1851,AUTOMATIC,LARGE,SEDAN,2004
3079,16,3079,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,244,25,UNKNOWN,DODGE,INTREPID,25105,4,1851,AUTOMATIC,LARGE,SEDAN,2004
3080,19,3080,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,200,27,UNKNOWN,DODGE,INTREPID,21385,4,1851,AUTOMATIC,LARGE,SEDAN,2004
3081,11,3081,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,180,16,UNKNOWN,DODGE,RAM 150,2000,2,1851,MANUAL,LARGE,REGULAR CAB PICKUP,1993
3082,11,3082,REAR WHEEL DRIVE,8,REGULAR UNLEADED,230,16,UNKNOWN,DODGE,RAM 150,2000,2,1851,MANUAL,LARGE,EXTENDED CAB PICKUP,1992
3083,14,3083,REAR WHEEL DRIVE,6,REGULAR UNLEADED,180,17,UNKNOWN,DODGE,RAM 150,2000,2,1851,MANUAL,LARGE,REGULAR CAB PICKUP,1992
3084,12,3084,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,230,15,UNKNOWN,DODGE,RAM 150,2000,2,1851,MANUAL,LARGE,EXTENDED CAB PICKUP,1992
3085,11,3085,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,180,16,UNKNOWN,DODGE,RAM 150,2000,2,1851,MANUAL,LARGE,REGULAR CAB PICKUP,1992
3086,11,3086,REAR WHEEL DRIVE,8,REGULAR UNLEADED,170,14,UNKNOWN,DODGE,RAM 150,2000,2,1851,MANUAL,LARGE,EXTENDED CAB PICKUP,1991
3087,12,3087,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,21,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,94995,2,1851,MANUAL,COMPACT,COUPE,2015
3088,11,3088,REAR WHEEL DRIVE,6,REGULAR UNLEADED,180,16,UNKNOWN,DODGE,RAM 250,2000,2,1851,MANUAL,LARGE,REGULAR CAB PICKUP,1993
3089,12,3089,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,21,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,84995,2,1851,MANUAL,COMPACT,COUPE,2015
3090,12,3090,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,21,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,87895,2,1851,MANUAL,COMPACT,COUPE,2016
3091,15,3091,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,210,21,CROSSOVER,DODGE,NITRO,24895,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3092,16,3092,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,260,20,"CROSSOVER,PERFORMANCE",DODGE,NITRO,28410,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3093,16,3093,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,260,20,"CROSSOVER,PERFORMANCE",DODGE,NITRO,27410,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3094,16,3094,REAR WHEEL DRIVE,6,REGULAR UNLEADED,210,22,CROSSOVER,DODGE,NITRO,21590,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3095,16,3095,REAR WHEEL DRIVE,6,REGULAR UNLEADED,260,21,"CROSSOVER,PERFORMANCE",DODGE,NITRO,26750,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3096,16,3096,REAR WHEEL DRIVE,6,REGULAR UNLEADED,210,22,CROSSOVER,DODGE,NITRO,23235,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3097,16,3097,REAR WHEEL DRIVE,6,REGULAR UNLEADED,260,21,"CROSSOVER,PERFORMANCE",DODGE,NITRO,25750,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3098,15,3098,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,210,21,CROSSOVER,DODGE,NITRO,23250,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2010
3099,15,3099,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,210,21,CROSSOVER,DODGE,NITRO,23900,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2009
3100,16,3100,REAR WHEEL DRIVE,6,REGULAR UNLEADED,210,22,CROSSOVER,DODGE,NITRO,22240,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2009
3101,16,3101,REAR WHEEL DRIVE,6,REGULAR UNLEADED,210,22,CROSSOVER,DODGE,NITRO,24560,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2009
3102,15,3102,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,210,21,CROSSOVER,DODGE,NITRO,26220,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2009
3103,19,3103,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),220,28,"FACTORY TUNER,PERFORMANCE",DODGE,NEON,20700,4,1851,MANUAL,COMPACT,SEDAN,2005
3104,16,3104,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,260,21,"CROSSOVER,PERFORMANCE",DODGE,NITRO,28995,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3105,25,3105,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,32,UNKNOWN,DODGE,NEON,13800,4,1851,MANUAL,COMPACT,SEDAN,2005
3106,22,3106,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,29,UNKNOWN,DODGE,NEON,16625,4,1851,AUTOMATIC,COMPACT,SEDAN,2004
3107,25,3107,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,32,UNKNOWN,DODGE,NEON,13490,4,1851,MANUAL,COMPACT,SEDAN,2004
3108,19,3108,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),225,28,"FACTORY TUNER,PERFORMANCE",DODGE,NEON,20450,4,1851,MANUAL,COMPACT,SEDAN,2004
3109,25,3109,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,32,UNKNOWN,DODGE,NEON,15800,4,1851,MANUAL,COMPACT,SEDAN,2004
3110,25,3110,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),150,32,UNKNOWN,DODGE,NEON,17640,4,1851,MANUAL,COMPACT,SEDAN,2004
3111,22,3111,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,29,UNKNOWN,DODGE,NEON,14315,4,1851,AUTOMATIC,COMPACT,SEDAN,2004
3112,25,3112,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,32,UNKNOWN,DODGE,NEON,15340,4,1851,MANUAL,COMPACT,SEDAN,2003
3113,25,3113,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),150,32,UNKNOWN,DODGE,NEON,17085,4,1851,MANUAL,COMPACT,SEDAN,2003
3114,25,3114,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,32,UNKNOWN,DODGE,NEON,13030,4,1851,MANUAL,COMPACT,SEDAN,2003
3115,19,3115,FRONT WHEEL DRIVE,4,PREMIUM UNLEADED (REQUIRED),215,27,"FACTORY TUNER,PERFORMANCE",DODGE,NEON,19450,4,1851,MANUAL,COMPACT,SEDAN,2003
3116,15,3116,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,150,24,UNKNOWN,DODGE,MONACO,2000,4,1851,AUTOMATIC,MIDSIZE,SEDAN,1990
3117,16,3117,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,150,24,UNKNOWN,DODGE,MONACO,2000,4,1851,AUTOMATIC,MIDSIZE,SEDAN,1991
3118,16,3118,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,150,24,UNKNOWN,DODGE,MONACO,2000,4,1851,AUTOMATIC,MIDSIZE,SEDAN,1992
3119,25,3119,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,132,32,UNKNOWN,DODGE,NEON,16110,4,1851,MANUAL,COMPACT,SEDAN,2005
3120,16,3120,REAR WHEEL DRIVE,6,REGULAR UNLEADED,260,21,"CROSSOVER,PERFORMANCE",DODGE,NITRO,27245,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3121,16,3121,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,260,21,"CROSSOVER,PERFORMANCE",DODGE,NITRO,27995,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3122,15,3122,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,210,21,CROSSOVER,DODGE,NITRO,23995,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3123,12,3123,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,21,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,118795,2,1851,MANUAL,COMPACT,COUPE,2016
3124,12,3124,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,21,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,107995,2,1851,MANUAL,COMPACT,COUPE,2016
3125,12,3125,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,19,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,95895,2,1851,MANUAL,COMPACT,COUPE,2017
3126,12,3126,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,19,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,87895,2,1851,MANUAL,COMPACT,COUPE,2017
3127,12,3127,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,19,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,118795,2,1851,MANUAL,COMPACT,COUPE,2017
3128,12,3128,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,19,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,107995,2,1851,MANUAL,COMPACT,COUPE,2017
3129,15,3129,ALL WHEEL DRIVE,8,REGULAR UNLEADED,340,22,UNKNOWN,DODGE,MAGNUM,32855,4,1851,AUTOMATIC,LARGE,WAGON,2006
3130,15,3130,REAR WHEEL DRIVE,8,REGULAR UNLEADED,340,23,UNKNOWN,DODGE,MAGNUM,30855,4,1851,AUTOMATIC,LARGE,WAGON,2006
3131,18,3131,REAR WHEEL DRIVE,6,REGULAR UNLEADED,190,26,UNKNOWN,DODGE,MAGNUM,22680,4,1851,AUTOMATIC,LARGE,WAGON,2006
3132,15,3132,ALL WHEEL DRIVE,6,REGULAR UNLEADED,250,22,UNKNOWN,DODGE,MAGNUM,29100,4,1851,AUTOMATIC,LARGE,WAGON,2006
3133,13,3133,REAR WHEEL DRIVE,8,PREMIUM UNLEADED (REQUIRED),425,18,"FACTORY TUNER,HIGH-PERFORMANCE",DODGE,MAGNUM,37320,4,1851,AUTOMATIC,LARGE,WAGON,2006
3134,15,3134,ALL WHEEL DRIVE,6,REGULAR UNLEADED,250,22,UNKNOWN,DODGE,MAGNUM,29860,4,1851,AUTOMATIC,LARGE,WAGON,2007
3135,18,3135,REAR WHEEL DRIVE,6,REGULAR UNLEADED,190,26,UNKNOWN,DODGE,MAGNUM,23370,4,1851,AUTOMATIC,LARGE,WAGON,2007
3136,15,3136,REAR WHEEL DRIVE,8,REGULAR UNLEADED,340,23,PERFORMANCE,DODGE,MAGNUM,31515,4,1851,AUTOMATIC,LARGE,WAGON,2007
3137,15,3137,ALL WHEEL DRIVE,8,REGULAR UNLEADED,340,22,UNKNOWN,DODGE,MAGNUM,33615,4,1851,AUTOMATIC,LARGE,WAGON,2007
3138,13,3138,REAR WHEEL DRIVE,8,PREMIUM UNLEADED (REQUIRED),425,18,"FACTORY TUNER,HIGH-PERFORMANCE",DODGE,MAGNUM,37795,4,1851,AUTOMATIC,LARGE,WAGON,2007
3139,13,3139,REAR WHEEL DRIVE,8,PREMIUM UNLEADED (RECOMMENDED),425,18,"FACTORY TUNER,HIGH-PERFORMANCE",DODGE,MAGNUM,38105,4,1851,AUTOMATIC,LARGE,WAGON,2008
3140,15,3140,ALL WHEEL DRIVE,8,REGULAR UNLEADED,340,22,UNKNOWN,DODGE,MAGNUM,33880,4,1851,AUTOMATIC,LARGE,WAGON,2008
3141,17,3141,REAR WHEEL DRIVE,6,REGULAR UNLEADED,250,24,UNKNOWN,DODGE,MAGNUM,27225,4,1851,AUTOMATIC,LARGE,WAGON,2008
3142,15,3142,ALL WHEEL DRIVE,6,REGULAR UNLEADED,250,22,UNKNOWN,DODGE,MAGNUM,29855,4,1851,AUTOMATIC,LARGE,WAGON,2008
3143,15,3143,REAR WHEEL DRIVE,8,REGULAR UNLEADED,340,23,PERFORMANCE,DODGE,MAGNUM,31780,4,1851,AUTOMATIC,LARGE,WAGON,2008
3144,18,3144,REAR WHEEL DRIVE,6,REGULAR UNLEADED,178,26,UNKNOWN,DODGE,MAGNUM,23420,4,1851,AUTOMATIC,LARGE,WAGON,2008
3145,22,3145,FRONT WHEEL DRIVE,4,REGULAR UNLEADED,93,31,HATCHBACK,DODGE,OMNI,2000,4,1851,MANUAL,COMPACT,4DR HATCHBACK,1990
3146,15,3146,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,210,21,CROSSOVER,DODGE,NITRO,23340,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3147,15,3147,FOUR WHEEL DRIVE,6,REGULAR UNLEADED,210,21,CROSSOVER,DODGE,NITRO,24985,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3148,16,3148,REAR WHEEL DRIVE,6,REGULAR UNLEADED,210,22,CROSSOVER,DODGE,NITRO,22245,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3149,16,3149,REAR WHEEL DRIVE,6,REGULAR UNLEADED,210,22,CROSSOVER,DODGE,NITRO,23235,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3150,16,3150,REAR WHEEL DRIVE,6,REGULAR UNLEADED,260,21,"CROSSOVER,PERFORMANCE",DODGE,NITRO,26245,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3151,16,3151,REAR WHEEL DRIVE,6,REGULAR UNLEADED,210,22,CROSSOVER,DODGE,NITRO,21590,4,1851,AUTOMATIC,MIDSIZE,4DR SUV,2011
3152,12,3152,REAR WHEEL DRIVE,10,PREMIUM UNLEADED (REQUIRED),645,21,"EXOTIC,HIGH-PERFORMANCE",DODGE,VIPER,95895,2,1851,MANUAL,COMPACT,COUPE,2016
3153,13,3153,REAR WHEEL DRIVE,8,PREMIUM UNLEADED (RECOMMENDED),707,22,"FACTORY TUNER,HIGH-PERFORMANCE",DODGE,CHALLENGER,58295,2,1851,MANUAL,LARGE,COUPE,2015
3154,12,3154,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,230,15,UNKNOWN,DODGE,RAM 250,2122,2,1851,MANUAL,LARGE,REGULAR CAB PICKUP,1993
3155,12,3155,REAR WHEEL DRIVE,8,REGULAR UNLEADED,230,16,UNKNOWN,DODGE,RAM 250,2000,2,1851,MANUAL,LARGE,EXTENDED CAB PICKUP,1993
3156,12,3156,REAR WHEEL DRIVE,8,REGULAR UNLEADED,230,18,UNKNOWN,DODGE,RAM VAN,2316,3,1851,AUTOMATIC,LARGE,CARGO VAN,1999
3157,13,3157,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,16,UNKNOWN,DODGE,RAM VAN,2000,3,1851,AUTOMATIC,COMPACT,CARGO VAN,1998
3158,12,3158,REAR WHEEL DRIVE,8,REGULAR UNLEADED,230,17,UNKNOWN,DODGE,RAM VAN,2239,3,1851,AUTOMATIC,MIDSIZE,CARGO VAN,1998
3159,13,3159,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,16,UNKNOWN,DODGE,RAM VAN,2034,3,1851,AUTOMATIC,MIDSIZE,CARGO VAN,1998
3160,12,3160,REAR WHEEL DRIVE,8,REGULAR UNLEADED,230,17,UNKNOWN,DODGE,RAM VAN,2245,3,1851,AUTOMATIC,LARGE,CARGO VAN,1998
3161,13,3161,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,29075,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3162,13,3162,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,390,18,UNKNOWN,DODGE,RAM PICKUP 1500,42650,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3163,13,3163,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,32085,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3164,13,3164,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,34240,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3165,14,3165,REAR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,19,FLEX FUEL,DODGE,RAM PICKUP 1500,31020,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3166,13,3166,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,390,18,UNKNOWN,DODGE,RAM PICKUP 1500,40495,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3167,13,3167,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,28425,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3168,14,3168,REAR WHEEL DRIVE,8,REGULAR UNLEADED,390,20,UNKNOWN,DODGE,RAM PICKUP 1500,39035,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3169,14,3169,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,16,UNKNOWN,DODGE,RAM VAN,2118,3,1851,AUTOMATIC,MIDSIZE,CARGO VAN,1999
3170,14,3170,REAR WHEEL DRIVE,6,REGULAR UNLEADED,215,20,FLEX FUEL,DODGE,RAM PICKUP 1500,20910,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3171,13,3171,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,25365,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3172,14,3172,REAR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,19,FLEX FUEL,DODGE,RAM PICKUP 1500,28510,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3173,14,3173,REAR WHEEL DRIVE,6,REGULAR UNLEADED,215,20,FLEX FUEL,DODGE,RAM PICKUP 1500,20610,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3174,14,3174,REAR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,19,FLEX FUEL,DODGE,RAM PICKUP 1500,28865,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3175,14,3175,REAR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,19,FLEX FUEL,DODGE,RAM PICKUP 1500,24855,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3176,14,3176,REAR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,19,FLEX FUEL,DODGE,RAM PICKUP 1500,25155,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3177,14,3177,REAR WHEEL DRIVE,6,REGULAR UNLEADED,215,20,FLEX FUEL,DODGE,RAM PICKUP 1500,24665,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3178,13,3178,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,28725,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3179,13,3179,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,25065,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2010
3180,13,3180,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,31730,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3181,13,3181,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,390,18,UNKNOWN,DODGE,RAM PICKUP 1500,41340,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2009
3182,13,3182,FOUR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,18,FLEX FUEL,DODGE,RAM PICKUP 1500,32945,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2009
3183,14,3183,REAR WHEEL DRIVE,8,FLEX-FUEL (UNLEADED/E85),310,19,FLEX FUEL,DODGE,RAM PICKUP 1500,25715,2,1851,AUTOMATIC,LARGE,REGULAR CAB PICKUP,2009
3184,14,3184,REAR WHEEL DRIVE,8,REGULAR UNLEADED,390,20,UNKNOWN,DODGE,RAM PICKUP 1500,36880,4,1851,AUTOMATIC,LARGE,CREW CAB PICKUP,2010
3185,14,3185,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,16,UNKNOWN,DODGE,RAM VAN,2041,3,1851,AUTOMATIC,COMPACT,CARGO VAN,1999
3186,13,3186,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,16,UNKNOWN,DODGE,RAM VAN,2237,3,1851,AUTOMATIC,MIDSIZE,CARGO VAN,2000
3187,13,3187,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,16,UNKNOWN,DODGE,RAM VAN,2348,3,1851,AUTOMATIC,LARGE,CARGO VAN,2000
3188,17,3188,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,27395,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2015
3189,17,3189,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,21795,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2015
3190,17,3190,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,24245,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2015
3191,17,3191,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,28395,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2015
3192,17,3192,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,25245,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2015
3193,17,3193,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,25095,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2016
3194,17,3194,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,22595,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2016
3195,17,3195,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,28295,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2016
3196,17,3196,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,31495,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2016
3197,17,3197,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,26195,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2016
3198,17,3198,FRONT WHEEL DRIVE,6,FLEX-FUEL (UNLEADED/E85),283,25,FLEX FUEL,DODGE,GRAND CARAVAN,29395,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2016
3199,17,3199,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,283,25,UNKNOWN,DODGE,GRAND CARAVAN,29395,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2017
3200,17,3200,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,283,25,UNKNOWN,DODGE,GRAND CARAVAN,26695,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2017
3201,17,3201,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,283,25,UNKNOWN,DODGE,GRAND CARAVAN,32395,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2017
3202,17,3202,FRONT WHEEL DRIVE,6,REGULAR UNLEADED,283,25,UNKNOWN,DODGE,GRAND CARAVAN,23995,4,1851,AUTOMATIC,MIDSIZE,PASSENGER MINIVAN,2017
3203,11,3203,REAR WHEEL DRIVE,8,REGULAR UNLEADED,230,16,UNKNOWN,DODGE,RAMCHARGER,2000,2,1851,AUTOMATIC,MIDSIZE,2DR SUV,1993
3204,11,3204,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,230,15,UNKNOWN,DODGE,RAMCHARGER,2000,2,1851,AUTOMATIC,MIDSIZE,2DR SUV,1993
3205,11,3205,REAR WHEEL DRIVE,8,REGULAR UNLEADED,230,15,UNKNOWN,DODGE,RAMCHARGER,2000,2,1851,AUTOMATIC,MIDSIZE,2DR SUV,1992
3206,11,3206,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,230,14,UNKNOWN,DODGE,RAMCHARGER,2000,2,1851,MANUAL,MIDSIZE,2DR SUV,1992
3207,11,3207,REAR WHEEL DRIVE,8,REGULAR UNLEADED,170,12,UNKNOWN,DODGE,RAMCHARGER,2000,2,1851,AUTOMATIC,MIDSIZE,2DR SUV,1991
3208,10,3208,FOUR WHEEL DRIVE,8,REGULAR UNLEADED,170,13,UNKNOWN,DODGE,RAMCHARGER,2000,2,1851,MANUAL,MIDSIZE,2DR SUV,1991
3209,13,3209,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,15,UNKNOWN,DODGE,RAM WAGON,21345,3,1851,AUTOMATIC,COMPACT,PASSENGER VAN,2002
3210,12,3210,REAR WHEEL DRIVE,6,REGULAR UNLEADED,175,15,UNKNOWN,DODGE,RAM WAGON,21345,3,1851,AUTOMATIC,COMPACT,PASSENGER VAN,2001
